t,x,y,z
0,-0.0819,-0.0515,-0.0889
0.02,-0.0819,-0.0515,-0.0889
0.04,-0.0819,-0.0515,-0.0889
0.06,-0.0819,-0.0515,-0.0889
0.08,-0.0819,-0.0515,-0.0889
0.097,-0.0819,-0.0515,-0.0889
0.117,-0.0819,-0.0515,-0.0889
0.137,-0.0819,-0.0515,-0.0889
0.157,-0.0819,-0.0515,-0.0889
0.177,-0.0819,-0.0515,-0.0889
0.197,-0.0819,-0.0515,-0.0889
0.217,-0.0819,-0.0515,-0.0889
0.237,-0.0819,-0.0515,-0.0889
0.257,-0.0819,-0.0515,-0.0889
0.277,-0.0819,-0.0515,-0.0889
0.3,-0.0819,-0.0515,-0.0889
0.32,-0.0819,-0.0515,-0.0889
0.34,-0.0819,-0.0515,-0.0889
0.36,-0.0819,-0.0515,-0.0889
0.38,-0.0819,-0.0515,-0.0889
0.4,-0.0819,-0.0515,-0.0889
0.42,-0.0819,-0.0515,-0.0889
0.44,-0.0819,-0.0515,-0.0889
0.46,-0.0819,-0.0515,-0.0889
0.48,-0.0819,-0.0515,-0.0889
0.5,-0.0819,-0.0515,-0.0889
0.52,-0.0819,-0.0515,-0.0889
0.54,-0.0819,-0.0515,-0.0889
0.56,-0.0819,-0.0515,-0.0889
0.58,-0.0819,-0.0515,-0.0889
0.6,-0.0819,-0.0515,-0.0889
0.62,-0.0819,-0.0515,-0.0889
0.64,-0.0819,-0.0515,-0.0889
0.66,-0.0819,-0.0515,-0.0889
0.68,-0.0819,-0.0515,-0.0889
0.7,-0.0819,-0.0515,-0.0889
0.72,-0.0819,-0.0515,-0.0889
0.74,-0.0819,-0.0515,-0.0889
0.76,-0.0819,-0.0515,-0.0889
0.78,-0.0819,-0.0515,-0.0889
0.8,-0.0819,-0.0515,-0.0889
0.82,-0.0819,-0.0515,-0.0889
0.84,-0.0819,-0.0515,-0.0889
0.86,-0.0819,-0.0515,-0.0889
0.88,-0.0819,-0.0515,-0.0889
0.9,-0.0819,-0.0515,-0.0889
0.92,-0.0819,-0.0515,-0.0889
0.94,-0.0819,-0.0515,-0.0889
0.96,-0.0819,-0.0515,-0.0889
0.98,-0.0819,-0.0515,-0.0889
1,-0.0819,-0.0515,-0.0889
1.02,-0.0819,-0.0515,-0.0889
1.04,-0.0819,-0.0515,-0.0889
1.06,-0.0819,-0.0515,-0.0889
1.08,-0.0819,-0.0515,-0.0889
1.102,-0.0819,-0.0515,-0.0889
1.122,-0.0819,-0.0515,-0.0889
1.142,-0.0819,-0.0515,-0.0889
1.162,-0.0819,-0.0515,-0.0889
1.182,-0.0819,-0.0515,-0.0889
1.202,-0.0819,-0.0515,-0.0889
1.222,-0.0819,-0.0515,-0.0889
1.242,-0.0819,-0.0515,-0.0889
1.262,-0.0819,-0.0515,-0.0889
1.282,-0.0819,-0.0515,-0.0889
1.302,-0.0819,-0.0515,-0.0889
1.322,-0.0819,-0.0515,-0.0889
1.342,-0.0819,-0.0515,-0.0889
1.362,-0.0819,-0.0515,-0.0889
1.382,-0.0819,-0.0515,-0.0889
1.402,-0.0819,-0.0515,-0.0889
1.422,-0.0819,-0.0515,-0.0889
1.442,-0.0819,-0.0515,-0.0889
1.462,-0.0819,-0.0515,-0.0889
1.482,-0.0819,-0.0515,-0.0889
1.502,-0.0819,-0.0515,-0.0889
1.522,-0.0819,-0.0515,-0.0889
1.542,-0.0819,-0.0515,-0.0889
1.562,-0.0819,-0.0515,-0.0889
1.582,-0.0819,-0.0515,-0.0889
1.602,-0.0819,-0.0515,-0.0889
1.622,-0.0819,-0.0515,-0.0889
1.642,-0.0819,-0.0515,-0.0889
1.662,-0.0819,-0.0515,-0.0889
1.682,-0.0819,-0.0515,-0.0889
1.702,-0.0819,-0.0515,-0.0889
1.722,-0.0819,-0.0515,-0.0889
1.742,-0.0819,-0.0515,-0.0889
1.762,-0.0819,-0.0515,-0.0889
1.782,-0.0819,-0.0515,-0.0889
1.802,-0.0819,-0.0515,-0.0889
1.822,-0.0819,-0.0515,-0.0889
1.842,-0.0819,-0.0515,-0.0889
1.862,-0.0819,-0.0515,-0.0889
1.882,-0.0819,-0.0515,-0.0889
1.902,-0.0819,-0.0515,-0.0889
1.922,-0.0819,-0.0515,-0.0889
1.942,-0.0819,-0.0515,-0.0889
1.962,-0.0819,-0.0515,-0.0889
1.982,-0.0819,-0.0515,-0.0889
2.002,-0.0819,-0.0515,-0.0889
2.022,-0.0819,-0.0515,-0.0889
2.042,-0.0819,-0.0515,-0.0889
2.062,-0.0819,-0.0515,-0.0889
2.082,-0.0819,-0.0515,-0.0889
2.102,-0.0819,-0.0515,-0.0889
2.122,-0.0819,-0.0515,-0.0889
2.142,-0.0819,-0.0515,-0.0889
2.162,-0.0819,-0.0515,-0.0889
2.182,-0.0819,-0.0515,-0.0889
2.202,-0.0819,-0.0515,-0.0889
2.222,-0.0819,-0.0515,-0.0889
2.242,-0.0819,-0.0515,-0.0889
2.262,-0.0819,-0.0515,-0.0889
2.282,-0.0819,-0.0515,-0.0889
2.302,-0.0819,-0.0515,-0.0889
2.322,-0.0819,-0.0515,-0.0889
2.342,-0.0819,-0.0515,-0.0889
2.362,-0.0819,-0.0515,-0.0889
2.382,-0.0819,-0.0515,-0.0889
2.402,-0.0819,-0.0515,-0.0889
2.422,-0.0819,-0.0515,-0.0889
2.442,-0.0819,-0.0515,-0.0889
2.462,-0.0819,-0.0515,-0.0889
2.482,-0.0819,-0.0515,-0.0889
2.502,-0.0819,-0.0515,-0.0889
2.522,-0.0819,-0.0515,-0.0889
2.542,-0.0819,-0.0515,-0.0889
2.562,-0.0819,-0.0515,-0.0889
2.582,-0.0819,-0.0515,-0.0889
2.602,-0.0819,-0.0515,-0.0889
2.622,-0.0819,-0.0515,-0.0889
2.642,-0.0819,-0.0515,-0.0889
2.662,-0.0819,-0.0515,-0.0889
2.682,-0.0819,-0.0515,-0.0889
2.702,-0.0819,-0.0515,-0.0889
2.722,-0.0819,-0.0515,-0.0889
2.742,-0.0819,-0.0515,-0.0889
2.762,-0.0819,-0.0515,-0.0889
2.782,-0.0819,-0.0515,-0.0889
2.802,-0.0819,-0.0515,-0.0889
2.822,-0.0819,-0.0515,-0.0889
2.842,-0.0819,-0.0515,-0.0889
2.862,-0.0819,-0.0515,-0.0889
