t,x (m),y (m),z (m) 
0,-0.0562,-0.0301,-0.093
0.02,-0.0561,-0.0296,-0.0933
0.04,-0.0561,-0.0292,-0.0934
0.062,-0.0566,-0.0291,-0.0932
0.082,-0.057,-0.029,-0.0928
0.102,-0.0574,-0.0291,-0.0923
0.12,-0.0576,-0.0295,-0.0921
0.14,-0.0575,-0.0298,-0.0919
0.16,-0.0573,-0.0307,-0.0914
0.181,-0.0567,-0.0317,-0.0913
0.201,-0.0562,-0.0329,-0.0912
0.22,-0.0552,-0.0337,-0.0915
0.24,-0.0542,-0.0347,-0.0917
0.26,-0.0532,-0.0358,-0.0916
0.28,-0.0526,-0.0368,-0.0917
0.3,-0.0521,-0.038,-0.0914
0.32,-0.0519,-0.0386,-0.0915
0.34,-0.0522,-0.0385,-0.0913
0.36,-0.0526,-0.038,-0.0911
0.38,-0.0529,-0.0372,-0.0912
0.4,-0.0527,-0.0362,-0.0913
0.426,-0.0535,-0.0356,-0.0917
0.446,-0.054,-0.0351,-0.0917
0.466,-0.0547,-0.0344,-0.0916
0.481,-0.0552,-0.0339,-0.0913
0.5,-0.0553,-0.0332,-0.091
0.521,-0.0555,-0.0327,-0.0911
0.541,-0.0558,-0.0327,-0.0916
0.56,-0.0556,-0.0328,-0.0917
0.58,-0.0552,-0.033,-0.0918
0.6,-0.0549,-0.0336,-0.0919
0.62,-0.0546,-0.0342,-0.0919
0.64,-0.0544,-0.0349,-0.0916
0.66,-0.0542,-0.0356,-0.0913
0.68,-0.0537,-0.0362,-0.0912
0.7,-0.0532,-0.0367,-0.0913
0.72,-0.0527,-0.0371,-0.0915
0.74,-0.0521,-0.0377,-0.0916
0.76,-0.0518,-0.0381,-0.0918
0.78,-0.0518,-0.0379,-0.0917
0.8,-0.0523,-0.0378,-0.0918
0.82,-0.0526,-0.0372,-0.0915
0.84,-0.053,-0.0369,-0.0914
0.86,-0.0533,-0.0365,-0.0913
0.881,-0.0536,-0.0361,-0.0913
0.899,-0.0538,-0.0356,-0.0914
0.92,-0.0541,-0.0353,-0.0914
0.94,-0.0544,-0.0349,-0.0915
0.96,-0.0546,-0.0346,-0.0913
0.98,-0.0548,-0.0342,-0.0913
1,-0.055,-0.034,-0.0914
1.02,-0.0552,-0.0337,-0.0915
1.04,-0.0552,-0.0335,-0.0916
1.061,-0.0551,-0.0335,-0.0916
1.08,-0.0551,-0.0337,-0.0916
1.101,-0.055,-0.034,-0.0916
1.121,-0.0548,-0.0343,-0.0915
1.141,-0.0547,-0.0346,-0.0915
1.161,-0.0543,-0.035,-0.0914
1.18,-0.0541,-0.0352,-0.0914
1.2,-0.054,-0.0353,-0.0914
1.22,-0.0538,-0.0357,-0.0915
1.241,-0.0536,-0.0358,-0.0914
1.26,-0.0534,-0.0362,-0.0913
1.281,-0.053,-0.0365,-0.0912
1.301,-0.0529,-0.0372,-0.091
1.321,-0.0527,-0.0375,-0.0909
1.341,-0.0524,-0.0379,-0.091
1.361,-0.0523,-0.0382,-0.0912
1.381,-0.0523,-0.0382,-0.0911
1.401,-0.0525,-0.0381,-0.091
1.421,-0.0528,-0.0376,-0.0908
1.44,-0.0529,-0.0374,-0.0908
1.463,-0.0529,-0.0371,-0.091
1.483,-0.0528,-0.0366,-0.0914
1.503,-0.053,-0.0365,-0.0915
1.521,-0.0533,-0.0364,-0.0915
1.541,-0.0535,-0.0364,-0.0908
1.561,-0.0536,-0.0364,-0.0907
1.581,-0.0535,-0.0365,-0.0914
1.601,-0.0533,-0.0365,-0.0914
1.621,-0.0531,-0.0367,-0.0914
1.64,-0.053,-0.0368,-0.0915
1.66,-0.0527,-0.037,-0.0914
1.68,-0.0526,-0.0372,-0.0913
1.7,-0.0525,-0.0374,-0.0913
1.72,-0.0523,-0.0377,-0.0914
1.741,-0.0523,-0.0379,-0.0916
1.761,-0.0522,-0.0378,-0.0914
1.781,-0.0523,-0.0377,-0.0916
1.801,-0.0525,-0.0376,-0.0915
1.829,-0.0525,-0.0376,-0.0914
1.849,-0.0526,-0.0378,-0.0916
1.869,-0.0525,-0.0378,-0.091
1.88,-0.0523,-0.0377,-0.0917
1.9,-0.0521,-0.0377,-0.0916
1.92,-0.0522,-0.038,-0.0913
1.94,-0.0522,-0.0378,-0.0913
1.961,-0.0523,-0.0378,-0.0914
1.981,-0.0524,-0.0376,-0.0913
2.001,-0.0526,-0.0376,-0.0911
2.021,-0.0528,-0.0375,-0.091
2.041,-0.0529,-0.0374,-0.091
2.061,-0.0529,-0.0373,-0.0909
2.081,-0.0527,-0.0371,-0.091
2.101,-0.0526,-0.037,-0.0913
2.121,-0.0526,-0.037,-0.0912
2.141,-0.0527,-0.0371,-0.0912
2.163,-0.0527,-0.0371,-0.091
2.183,-0.0528,-0.0371,-0.0911
2.203,-0.0527,-0.0371,-0.091
2.221,-0.0527,-0.037,-0.0912
2.241,-0.0527,-0.0371,-0.0911
2.261,-0.0527,-0.0371,-0.0912
2.281,-0.0526,-0.0372,-0.0912
2.301,-0.0525,-0.0374,-0.0914
2.321,-0.0523,-0.0376,-0.0912
2.341,-0.0522,-0.0377,-0.0912
2.362,-0.0522,-0.0377,-0.0912
2.382,-0.0521,-0.0376,-0.0913
2.401,-0.0521,-0.0375,-0.0913
2.42,-0.052,-0.0373,-0.0914
